list,Direction,Stop Name,Latitude,Longitude,Name-en-normalized,UID,map link
brts stops,Down,Bidi Kamgar Vasahat Yerwada,18.553338,73.88264,Bidi Kamgar Vasahat Yerawada,,http://maps.google.com/?q=loc:18.553338,73.88264
brts stops,UP,Bird Valley,18.657321,73.799538,Bird Valley,,http://maps.google.com/?q=loc:18.6573210000001,73.7995380000003
brts stops,Down,Bird Valley,18.6571,73.799301,Bird Valley,,http://maps.google.com/?q=loc:18.6570999999997,73.7993009999995
brts stops,UP,Birla Hospital,18.625965,73.775692,Birla Hospital,,http://maps.google.com/?q=loc:18.625965,73.775692
brts stops,Down,Birla Hospital,18.626773,73.775162,Birla Hospital,,http://maps.google.com/?q=loc:18.626773,73.775162
brts stops,UP,Bitevasti,18.54507,73.93562,Bitevasti,,http://maps.google.com/?q=loc:18.5450699999996,73.9356200000001
brts stops,Down,Bitevasti,18.545228,73.935915,Bitevasti,,http://maps.google.com/?q=loc:18.545228,73.935915
brts stops,UP,Bodygate,18.56311,73.813115,Bodygate,,http://maps.google.com/?q=loc:18.5631100000003,73.8131149999995
brts stops,Down,Bodygate,18.563131,73.813502,Bodygate,,http://maps.google.com/?q=loc:18.5631309999997,73.8135020000001
brts stops,UP,Bombay Garage,18.512925,73.879841,Bombay Garage,,http://maps.google.com/?q=loc:18.512925,73.879841
brts stops,Down,Bombay Garage,18.513103,73.879897,Bombay Garage,,http://maps.google.com/?q=loc:18.513103,73.879897
brts stops,UP,Bopodi,18.571394,73.838154,Bopodi,,http://maps.google.com/?q=loc:18.571394,73.838154
brts stops,Down,Bopodi,18.571615,73.837902,Bopodi,,http://maps.google.com/?q=loc:18.5716149999996,73.8379020000003
brts stops,UP,Bremen Chowk,18.559595,73.815419,Bremen Chowk,,http://maps.google.com/?q=loc:18.559595,73.815419
brts stops,Down,Bremen Chowk,18.55972,73.815579,Bremen Chowk,,http://maps.google.com/?q=loc:18.55972,73.815579
brts stops,UP,Bundgarden,18.54068,73.88344,Bundgarden,,http://maps.google.com/?q=loc:18.5406799999995,73.88344
brts stops,Down,Bundgarden,18.540639,73.883628,Bundgarden,,http://maps.google.com/?q=loc:18.5406390000001,73.8836280000003
