,list,Direction,Stop Name,Latitude,Longitude,Name-en-normalized,UID,map link,Unnamed: 8,UID_new
279,brts stops,Down,Ganeshnagar,18.450525,73.811049,Ganeshnagar,,http://maps.google.com/?q=loc:18.450525,73.811049,GANE1
280,brts stops,UP,Ganeshnagar Alandi Road,18.597641,73.873345,Ganeshnagar Alandi Road,,http://maps.google.com/?q=loc:18.597641,73.873345,GAALRO1
281,brts stops,Down,Ganeshnagar Alandi Road,18.597641,73.873345,Ganeshnagar Alandi Road,,http://maps.google.com/?q=loc:18.597641,73.873345,GANALAROA1
282,brts stops,UP,Ganeshnagar Anand Park,18.555017000000003,73.928434,Ganeshnagar Anand Park,,http://maps.google.com/?q=loc:18.555017,73.928434,GAANPA1
283,brts stops,Down,Ganeshnagar Anand Park,18.555017000000003,73.928434,Ganeshnagar Anand Park,,http://maps.google.com/?q=loc:18.555017,73.928434,GANANAPAR1
284,brts stops,UP,Ganeshnagar Dange Chowk,18.612692000000003,73.762715,Ganeshnagar Dange Chowk,,http://maps.google.com/?q=loc:18.6126919999996,73.762715,GADACH1
285,brts stops,Down,Ganeshnagar Dange Chowk,18.612834,73.762511,Ganeshnagar Dange Chowk,,http://maps.google.com/?q=loc:18.6128339999999,73.762511,GANDANCHO1
286,brts stops,UP,Ganeshnagar Dhayari,18.450584,73.810979,Ganeshnagar Dhayari,,http://maps.google.com/?q=loc:18.450584,73.810979,GADH1
287,brts stops,Down,Ganeshnagar Dhayari,18.450525,73.811049,Ganeshnagar Dhayari,,http://maps.google.com/?q=loc:18.450525,73.811049,GANDHA1
288,brts stops,UP,Ganeshnagar Telco Road,18.634334,73.82854300000001,Ganeshnagar Telco Road,,http://maps.google.com/?q=loc:18.6343339999997,73.82854300000001,GATERO1
289,brts stops,Down,Ganeshnagar Telco Road,18.634328,73.828278,Ganeshnagar Telco Road,,http://maps.google.com/?q=loc:18.6343280000002,73.828278,GANTELROA1
290,brts stops,UP,Ganganagar,18.48754,73.951839,Ganganagar,,http://maps.google.com/?q=loc:18.48754,73.951839,GANG1
291,brts stops,Down,Ganganagar,18.486572,73.95262199999999,Ganganagar,,http://maps.google.com/?q=loc:18.486572,73.95262199999999,
292,brts stops,UP,Gangapuram Mhada,18.567714000000002,73.910939,Gangapuram Mhada,,http://maps.google.com/?q=loc:18.567714,73.910939,GAMH1
