Sr.,Direction,Stop Name,Name-en-normalized,UID
285,DOWN,Bakwoulf Colony,Bakwoulf Colony,
286,UP,Bal Kalyan Sanstha,Bal Kalyan Sanstha,
287,DOWN,Bal Kalyan Sanstha,Bal Kalyan Sanstha,
288,UP,Bal Shikshan Mandal,Bal Shikshan Mandal,
289,DOWN,Bal Shikshan Mandal,Bal Shikshan Mandal,
290,UP,Balaji Chowk,Balaji Chowk,
291,DOWN,Balaji Chowk,Balaji Chowk,
292,UP,Balaji Mandir,Balaji Mandir,
293,DOWN,Balaji Mandir,Balaji Mandir,
294,UP,Balaji Park,Balaji Park,
295,DOWN,Balaji Park,Balaji Park,
296,UP,Balaji Petrol Pump,Balaji Petrol Pump,
297,DOWN,Balaji Petrol Pump,Balaji Petrol Pump,
298,UP,Balajinagar,Balajinagar,
299,DOWN,Balajinagar,Balajinagar,
300,UP,Balajinagar Corner,Balajinagar Corner,
301,DOWN,Balajinagar Corner,Balajinagar Corner,
302,UP,Balbharati,Balbharati,
303,DOWN,Balbharati,Balbharati,
304,UP,Balbhavan,Balbhavan,
305,DOWN,Balbhavan,Balbhavan,
306,UP,Balewadi Depot,Balewadi Depot,
307,DOWN,Balewadi Depot,Balewadi Depot,
308,UP,Balewadi Phata,Balewadi Phata,
309,DOWN,Balewadi Phata,Balewadi Phata,
310,UP,Balewadi Stadium,Balewadi Stadium,
311,DOWN,Balewadi Stadium,Balewadi Stadium,
312,UP,Balewadigaon,Balewadigaon,
313,DOWN,Balewadigaon,Balewadigaon,
314,UP,Balgandharv,Balgandharv,
315,DOWN,Balgandharv,Balgandharv,
316,UP,Balkawadevasti,Balkawadevasti,
317,DOWN,Balkawadevasti,Balkawadevasti,
318,UP,Balsadan,Balsadan,
319,DOWN,Balsadan,Balsadan,
320,UP,Banacha Odha,Banacha Odha,
321,DOWN,Banacha Odha,Banacha Odha,
322,UP,Bandal Farm,Bandal Farm,
323,DOWN,Bandal Farm,Bandal Farm,
324,UP,Baner Phata,Baner Phata,
325,DOWN,Baner Phata,Baner Phata,
326,UP,Banergaon,Banergaon,
327,DOWN,Banergaon,Banergaon,
328,UP,Banergaon Odha,Banergaon Odha,
329,DOWN,Banergaon Odha,Banergaon Odha,
330,UP,Bangarvasti,Bangarvasti,
331,DOWN,Bangarvasti,Bangarvasti,
332,UP,Bank Of India Dehuroad,Bank Of India Dehuroad,
333,DOWN,Bank Of India Dehuroad,Bank Of India Dehuroad,
334,UP,Bank Of Maharashtra Hinjawadi,Bank Of Maharashtra Hinjawadi,
335,UP,Bankarvasti,Bankarvasti,
336,DOWN,Bankarvasti,Bankarvasti,
337,UP,Bapurao Smarak,Bapurao Smarak,
338,DOWN,Bapurao Smarak,Bapurao Smarak,
339,UP,Bapusaheb Magarvasti,Bapusaheb Magarvasti,
340,DOWN,Bapusaheb Magarvasti,Bapusaheb Magarvasti,
341,UP,Barate Hospital,Barate Hospital,
342,DOWN,Barate Hospital,Barate Hospital,
343,DOWN,Batliwala Haud,Batliwala Haud,
344,UP,Bauddhavasti,Bauddhavasti,
345,DOWN,Bauddhavasti,Bauddhavasti,
346,UP,Bavdhan Phata,Bavdhan Phata,
347,DOWN,Bavdhan Phata,Bavdhan Phata,
348,UP,Bavdhangaon,Bavdhangaon,
349,DOWN,Bavdhangaon,Bavdhangaon,
350,UP,Belhekarvasti,Belhekarvasti,
351,DOWN,Belhekarvasti,Belhekarvasti,
352,UP,Benkarvasti,Benkarvasti,
353,DOWN,Benkarvasti,Benkarvasti,
354,UP,Beverley House Baner,Beverley House Baner,
355,DOWN,Beverley House Baner,Beverley House Baner,
356,UP,Bhadalevasti SaswadRoad,Bhadalevasti SaswadRoad,
357,DOWN,Bhadalevasti SaswadRoad,Bhadalevasti SaswadRoad,
358,UP,Bhagatwadi,Bhagatwadi,
359,DOWN,Bhagatwadi,Bhagatwadi,
360,UP,Bhagvatinagar,Bhagvatinagar,
361,DOWN,Bhagvatinagar,Bhagvatinagar,
362,UP,Bhagwat Mangal Karyalay,Bhagwat Mangal Karyalay,
363,DOWN,Bhagwat Mangal Karyalay,Bhagwat Mangal Karyalay,
364,UP,Bhagwatvasti,Bhagwatvasti,
365,DOWN,Bhagwatvasti,Bhagwatvasti,
366,UP,Bhairavnagar Dhanori Road,Bhairavnagar Dhanori Road,
367,DOWN,Bhairavnagar Dhanori Road,Bhairavnagar Dhanori Road,
368,UP,Bhairavnagar Pimplegurav,Bhairavnagar Pimplegurav,
